file	"string"
src\components\ButtonEmbedCopy.tsx	"Embed copy of snip"
src\components\ButtonEmbedCopy.tsx	"Embed Snip in document?"
src\components\ButtonEmbedCopy.tsx	"Cancel"
src\components\ButtonEmbedCopy.tsx	"Embed"
src\components\ButtonOpenMenu.tsx	"Open"
src\components\ButtonOpenMenu.tsx	"Local"
src\components\ButtonOpenMenu.tsx	"New"
src\components\ButtonOpenMenu.tsx	"Embed"
src\components\ButtonOpenMenu.tsx	"Gist"
src\components\ButtonOpenMenu.tsx	"Sample"
src\components\ButtonOpenMenu.tsx	"Import"
src\components\DialogImport.tsx	"Import Snip"
src\components\DialogImport.tsx	"Paste a JSON, gist, or url."
src\components\DialogImport.tsx	"Close"
src\components\DialogImport.tsx	"Import"
src\components\DrawerGists.tsx	"Refresh Gists"
src\components\DrawerSamples.tsx	"Sample Snips"
src\components\DrawerSamples.tsx	"Refresh Samples"
src\components\DrawerSnips.tsx	"Local Snips"
src\components\DrawerSnips.tsx	"Local Snips"
src\components\DrawerSnips.tsx	"Copy All Snips To Clipboard"
src\components\DrawerSnips.tsx	"Download All Snips"
src\components\DrawerSnips.tsx	"Upload Snips"
src\components\DrawerSnips.tsx	"New Snip"
src\components\PageEdit.tsx	"Run"
src\components\PageEdit.tsx	"Copy to clipboard"
src\components\PageEdit.tsx	"Import"
src\components\PageEdit.tsx	"Delete"
src\components\PageEdit.tsx	"Settings"
